backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
tiny,chip_154_484_merged.tif,0.2,0,1008210494,3,13,0.199,0.00492,39.4167,0.9604,0.016239,33.898,0.8698
tiny,chip_154_484_merged.tif,0.2,1,627603863,3,13,0.199,0.003994,40.9883,0.9688,0.013852,35.4313,0.8907
tiny,chip_154_484_merged.tif,0.2,2,246997232,3,13,0.199,0.004657,39.818,0.9629,0.01555,34.442,0.8771
tiny,chip_154_484_merged.tif,0.2,3,1914535362,3,13,0.199,0.00489,39.4317,0.9598,0.017024,33.8155,0.8561
tiny,chip_154_484_merged.tif,0.2,4,1533928731,3,13,0.199,0.004833,39.8567,0.9613,0.014315,35.2249,0.8856
tiny,chip_154_484_merged.tif,0.4,0,847595161,6,13,0.398,0.010064,35.4525,0.9199,0.019485,32.4389,0.85
tiny,chip_154_484_merged.tif,0.4,1,466988530,6,13,0.398,0.009099,36.4729,0.9269,0.01627,33.799,0.8706
tiny,chip_154_484_merged.tif,0.4,2,2134526660,6,13,0.398,0.009308,36.3184,0.9254,0.016673,33.6634,0.8708
tiny,chip_154_484_merged.tif,0.4,3,1753920029,6,13,0.398,0.010442,35.2004,0.9169,0.019425,32.2738,0.8464
tiny,chip_154_484_merged.tif,0.4,4,1273974511,6,13,0.398,0.009748,35.9783,0.9193,0.017115,33.4137,0.8627
tiny,chip_154_484_merged.tif,0.6,0,104296954,9,13,0.5969,0.014345,33.7764,0.8783,0.01946,32.3306,0.8415
tiny,chip_154_484_merged.tif,0.6,1,1871173971,9,13,0.5969,0.016867,32.7778,0.8561,0.021288,31.5658,0.8228
tiny,chip_154_484_merged.tif,0.6,2,1391228453,9,13,0.5969,0.015272,33.1756,0.8625,0.020188,31.934,0.8214
tiny,chip_154_484_merged.tif,0.6,3,1010621822,9,13,0.5969,0.015283,33.413,0.8704,0.019643,32.3047,0.8341
tiny,chip_154_484_merged.tif,0.6,4,530676304,9,13,0.5969,0.014135,33.6147,0.8767,0.019576,32.0682,0.8345
tiny,chip_154_484_merged.tif,0.8,0,1769188406,12,13,0.7959,0.024899,30.3384,0.7672,0.026096,30.1325,0.7568
tiny,chip_154_484_merged.tif,0.8,1,1388581775,12,13,0.7959,0.024058,30.4347,0.7729,0.026554,29.9762,0.7532
tiny,chip_154_484_merged.tif,0.8,2,1007975144,12,13,0.7959,0.02436,30.4916,0.775,0.025953,30.1685,0.7615
tiny,chip_154_484_merged.tif,0.8,3,528029626,12,13,0.7959,0.023699,30.5898,0.7768,0.025674,30.1811,0.7622
tiny,chip_154_484_merged.tif,0.8,4,147422995,12,13,0.7959,0.02397,30.5906,0.774,0.026162,30.1439,0.7589
tiny,chip_119_126_merged.tif,0.2,0,1493603158,3,13,0.199,0.004015,38.2647,0.9754,0.01469,31.8451,0.9138
tiny,chip_119_126_merged.tif,0.2,1,1112996527,3,13,0.199,0.003614,41.2894,0.9786,0.010845,35.8441,0.9394
tiny,chip_119_126_merged.tif,0.2,2,732389896,3,13,0.199,0.00338,40.4448,0.9757,0.011858,34.5301,0.9156
tiny,chip_119_126_merged.tif,0.2,3,252444378,3,13,0.199,0.003489,40.4585,0.978,0.011422,34.5574,0.9368
tiny,chip_119_126_merged.tif,0.2,4,2019321395,3,13,0.199,0.003062,42.1481,0.9811,0.009912,36.8081,0.9397
tiny,chip_119_126_merged.tif,0.4,0,1332987825,6,13,0.398,0.007034,38.0268,0.9505,0.013043,35.1977,0.9094
tiny,chip_119_126_merged.tif,0.4,1,952381194,6,13,0.398,0.007132,37.8928,0.9493,0.0131,34.9166,0.9054
tiny,chip_119_126_merged.tif,0.4,2,472435676,6,13,0.398,0.007206,37.478,0.9555,0.01257,34.8203,0.9301
tiny,chip_119_126_merged.tif,0.4,3,91829045,6,13,0.398,0.007001,38.44,0.9538,0.011312,36.3548,0.9345
tiny,chip_119_126_merged.tif,0.4,4,1759367175,6,13,0.398,0.007559,37.1558,0.9411,0.014152,34.0882,0.8872
tiny,chip_119_126_merged.tif,0.6,0,589689618,9,13,0.5969,0.014052,33.8269,0.8963,0.019699,32.2669,0.8534
tiny,chip_119_126_merged.tif,0.6,1,209082987,9,13,0.5969,0.012623,34.2603,0.9017,0.015351,33.302,0.8788
tiny,chip_119_126_merged.tif,0.6,2,1876621117,9,13,0.5969,0.013549,33.9529,0.8967,0.017443,32.7202,0.869
tiny,chip_119_126_merged.tif,0.6,3,1496014486,9,13,0.5969,0.012896,34.1249,0.9035,0.017159,32.7056,0.873
